id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,xy_goal_tol,des_lin_vel,state
0,24.2228870391846,-20.2483386993408,10.0066270828247,0.000954209885094315,0.0128272920846939,-0.00175777077674866,0.999915719032288,0.5,0.3,2
1,40.5898590087891,-20.2551250457764,9.70094013214111,0.00275347824208438,-0.0211739931255579,0.00572991743683815,0.999755620956421,0.5,0.3,0
2,48.1881561279297,-20.1697692871094,9.7369384765625,-0.00200833566486835,-0.00174577278085053,0.00512596592307091,0.999983370304108,0.5,0.3,0
3,63.4496917724609,-33.8294258117676,9.75676155090332,-0.000279030617093667,-0.000239309752942063,-0.493945568799973,0.869492769241333,0.5,0.3,0
4,75.463996887207,-53.3088989257813,10.2895021438599,-0.0212197341024876,-0.0221270304173231,-0.478634566068649,0.877478837966919,0.5,0.3,0
5,88.0798416137695,-72.3154754638672,10.4531202316284,-0.00101339153479785,-0.00208114995621145,-0.465857028961182,0.884856998920441,0.5,0.3,0
6,95.1422958374024,-85.4867553710938,9.87991714477539,-0.0253541115671396,-0.00995228253354958,-0.588261842727661,0.808211743831635,0.5,0.3,0
7,97.4413986206055,-92.7591171264649,9.90398597717285,-0.0115401865914464,-0.00883299577981234,-0.596331834793091,0.802606463432312,0.5,0.3,0
8,98.6892318725586,-100.074836730957,9.98225593566895,-0.00014638427819591,-0.000153316141222604,-0.643376290798187,0.765550076969517,0.5,0.3,0
9,100.010940551758,-107.60139465332,9.98970222473145,-0.00192517437972128,-0.00165921915322542,-0.643188059329987,0.765704035758972,0.5,0.3,0
10,100.605079650879,-114.998176574707,10.0039196014404,-0.00040288912714459,-0.000227370081120171,-0.696269273757935,0.717780530452728,0.5,0.3,0
11,101.002418518066,-130.282043457031,10.0036725997925,-0.00646252697333694,0.00374209531582892,-0.700285971164703,0.71382337808609,0.5,0.3,0
12,105.56209564209,-143.905654907227,9.58832550048828,0.0322379395365715,0.038837444037199,-0.476823300123215,0.87754887342453,0.5,0.3,0
13,109.712677001953,-150.34309387207,8.84044170379639,0.0381382443010807,0.0239331927150488,-0.478256762027741,0.877065062522888,0.5,0.3,0
14,118.927619934082,-163.245147705078,7.03904438018799,-0.0567488186061382,0.0379069931805134,-0.466705501079559,0.881775856018066,0.5,0.3,0
15,121.637001037598,-177.029373168945,6.71436452865601,-0.003017169656232,0.016782496124506,-0.705141663551331,0.708861470222473,0.5,0.3,0
16,121.696105957031,-184.710891723633,6.61183309555054,-0.00107252260204405,0.00760381855070591,-0.704016804695129,0.710141837596893,0.5,0.3,0
17,121.709228515625,-187.330017089844,6.59507036209106,-0.00481087202206254,0.00812010653316975,-0.706335306167603,0.707814514636993,0.5,0.3,0
18,121.412475585938,-187.08512878418,6.60280990600586,0.00995036866515875,-0.00270601618103683,0.99984872341156,0.0140106845647097,0.5,0.3,0
19,121.595771789551,-187.09977722168,6.60045003390991,0.0104620372876525,-0.00272352830506861,0.999864518642426,0.0124140679836273,0.5,0.3,0
20,133.715637207031,-187.401062011719,6.48454523086548,-0.00362076656892896,-0.000168697268236429,0.999902129173279,0.0135136218741536,0.5,0.3,1
21,128.856857299805,-187.285263061523,6.4890627861023,0.00174530898220837,-0.000547841831576079,0.999931156635284,0.0115924691781402,0.5,0.3,0
22,115.223327636719,-187.219009399414,6.75446557998657,-0.0234454330056906,0.0181207992136478,-0.993347465991974,0.11127794533968,0.5,0.3,0
23,108.853820800781,-179.800079345703,7.13854885101318,0.0202062968164682,-0.000810803379863501,0.867787539958954,0.49652373790741,0.5,0.3,0
24,104.66495513916,-145.747772216797,9.43772220611572,0.0698143467307091,-0.0213769655674696,0.758772671222687,0.647250294685364,0.5,0.3,0
25,102.22966003418,-130.78369140625,9.98043823242188,0.00262176990509033,-0.00198077759705484,0.76156210899553,0.648083627223969,0.5,0.3,0
26,101.081352233887,-123.306167602539,9.9938192367537,0.00265595875680447,0.00350507581606507,0.750380098819733,0.660992085933685,0.5,0.3,0
27,101.26895904541,-115.761642456055,10.0032711029053,0.000632756215054542,-0.000537925050593913,0.699591755867004,0.714542329311371,0.5,0.3,0
28,101.431312561035,-108.128280639648,9.98977375030518,-0.000319131708238274,0.000964176200795919,0.699864983558655,0.714274525642395,0.5,0.3,0
29,101.589805603027,-100.543121337891,9.98299503326416,0.000466035126009956,-0.000510748999658972,0.697654366493225,0.716434180736542,0.5,0.3,0
30,101.75602722168,-92.8944702148437,9.92118072509766,-0.0047476151958108,-0.0069476361386478,0.70059061050415,0.713513910770416,0.5,0.3,0
31,100.100631713867,-86.139762878418,9.93838310241699,0.00750726880505681,-0.020964253693819,0.84846442937851,0.528783738613129,0.5,0.3,0
32,90.7566299438477,-74.231086730957,10.1806688308716,0.0460463017225266,-0.0680843442678452,0.896275818347931,0.435814052820206,0.5,0.3,0
